ch1voltsWL1,ch5voltsWL1,ch1voltsWL2,ch5voltsWL2
0.047213,0.021463,0.056317,0.022856
0.094546,0.046159,0.13694,0.071968
0.14743,0.061149,0.25718,0.14255
0.14361,0.048751,0.26339,0.16
0.11384,0.044972,0.19312,0.13903
0.10662,0.056665,0.17019,0.12434
0.12169,0.057662,0.21077,0.12546
0.13171,0.051457,0.23724,0.13258
0.12561,0.048992,0.222,0.1373
0.11701,0.051738,0.19023,0.13266
0.11803,0.054081,0.18603,0.1258
0.12427,0.053785,0.21059,0.12895
0.12607,0.052508,0.22291,0.1367
0.12239,0.052077,0.21103,0.13765
0.11949,0.052541,0.19348,0.13032
0.12074,0.05314,0.19301,0.12582
0.12332,0.053442,0.20831,0.13056
0.12363,0.053469,0.21579,0.13667
0.12195,0.053416,0.20793,0.13664
0.12091,0.053432,0.19697,0.13159
0.12156,0.053553,0.19686,0.1292
0.12259,0.053736,0.20627,0.13259
0.12265,0.053964,0.21116,0.13657
0.12198,0.054266,0.20629,0.13666
0.12162,0.05461,0.19934,0.13397
0.12194,0.054861,0.19925,0.13305
0.12236,0.05494,0.20516,0.13545
0.12238,0.054963,0.20844,0.138
0.12215,0.055117,0.20543,0.13801
0.12208,0.055399,0.20093,0.13632
0.12225,0.055598,0.2008,0.13572
0.1224,0.055558,0.20462,0.13716
0.12235,0.055423,0.20698,0.13882
0.12223,0.055505,0.20525,0.13905
0.12224,0.055935,0.20231,0.13828
0.1224,0.056496,0.20203,0.13815
0.12256,0.056839,0.20438,0.13925
0.1226,0.056839,0.20603,0.14056
0.12254,0.056681,0.20509,0.14099
0.12251,0.056631,0.2032,0.1407
0.12257,0.056774,0.20289,0.14065
0.12266,0.056997,0.2043,0.1413
0.12271,0.057174,0.20545,0.14222
0.12273,0.057329,0.20502,0.14283
0.12274,0.057565,0.20389,0.14309
0.12278,0.057902,0.20362,0.14341
0.12286,0.058234,0.2044,0.14399
0.12294,0.058461,0.2051,0.14468
0.12299,0.058612,0.20491,0.1453
0.12301,0.058815,0.20428,0.14592
0.12301,0.059141,0.20414,0.14671
0.12303,0.05953,0.20458,0.1476
0.12308,0.059881,0.20493,0.1483
0.12313,0.060173,0.20474,0.14865
0.12317,0.060438,0.20437,0.14875
0.12319,0.060671,0.20439,0.14887
0.12321,0.06081,0.20483,0.14911
0.12322,0.060822,0.20518,0.14938
0.12324,0.060763,0.2051,0.14954
0.12329,0.06074,0.20483,0.14963
0.12337,0.060801,0.20479,0.14979
0.12346,0.060909,0.20504,0.15013
0.1235,0.061013,0.20521,0.15058
0.12347,0.061118,0.20505,0.15095
0.1234,0.061276,0.20471,0.15113
0.12339,0.061497,0.20454,0.15117
0.12345,0.061713,0.20464,0.15121
0.12352,0.06185,0.20478,0.15131
0.1235,0.061917,0.20469,0.1514
0.12341,0.062006,0.20442,0.15138
0.12333,0.062176,0.20422,0.15131
0.12334,0.062383,0.20423,0.1514
0.12343,0.062524,0.20435,0.15177
0.12352,0.062566,0.20438,0.15231
0.12354,0.062607,0.20427,0.15274
0.12352,0.062786,0.20413,0.15288
0.1235,0.06311,0.20407,0.15289
0.12352,0.063421,0.20411,0.15307
0.12357,0.063552,0.20415,0.1535
0.1236,0.063482,0.20413,0.1539
0.12361,0.06333,0.20409,0.15391
0.12358,0.0632,0.20409,0.15339
0.12353,0.063082,0.20415,0.15263
0.1235,0.062919,0.20423,0.15199
0.1235,0.062732,0.20429,0.15161
0.12354,0.062603,0.20435,0.15134
0.12356,0.062545,0.20441,0.15097
0.12353,0.06246,0.20446,0.15046
0.12346,0.062283,0.20449,0.14992
0.12341,0.062108,0.20451,0.14944
0.12343,0.062087,0.20456,0.14901
0.1235,0.06218,0.20465,0.14855
0.12355,0.062107,0.20471,0.14803
0.12351,0.06162,0.20471,0.14754
0.12341,0.06081,0.20469,0.14715
0.12335,0.060064,0.20471,0.14681
0.12335,0.059707,0.2048,0.1464
0.1234,0.059701,0.2049,0.14579
0.12341,0.059747,0.20494,0.145
0.12335,0.059625,0.20492,0.14423
0.12326,0.059384,0.2049,0.14367
0.1232,0.059199,0.20496,0.14337
0.1232,0.059129,0.20504,0.1432
