ch1voltsWL2,ch5voltsWL2
0.00089033,-0.00057201
0.00078584,-0.00078063
0.00076529,-0.00054804
0.00098901,2.4781e-05
0.0013246,0.00053701
0.0014714,0.00072254
0.0013522,0.00070371
0.0012591,0.00076603
0.0014878,0.0009545
0.0018861,0.00101
0.0019649,0.00072255
0.0015349,0.0002505
0.001048,-1.3908e-05
0.0010734,0.00011074
0.0014856,0.00037917
0.0015005,0.0004142
0.00071436,0.00017923
-0.00014384,4.7846e-05
5.1999e-05,0.00034911
0.0012415,0.00091024
0.0017584,0.0011563
-2.0194e-05,0.00070568
-0.0036075,-0.00017644
-0.0064221,-0.00078243
-0.0061831,-0.0006268
-0.0031833,0.00012106
5.3907e-05,0.00085802
0.0013086,0.0011422
0.00058956,0.0010307
-0.00044008,0.00087424
-0.00050547,0.0008857
0.00018345,0.00097889
0.00067576,0.00099096
0.00055001,0.00095168
0.00017418,0.001058
1.0978e-05,0.0014105
0.00010837,0.0018567
0.00029194,0.002136
0.00049129,0.0021573
0.00066207,0.0020912
0.00061834,0.0021686
0.00028917,0.0024267
0.00010692,0.0026911
0.00076352,0.0027781
0.0023526,0.0026853
0.0039246,0.0025669
0.004229,0.002543
0.0029994,0.0025866
0.0012999,0.0026033
0.00046366,0.0025824
0.00080172,0.0026314
0.0014819,0.0028429
0.0015804,0.0031528
0.0010273,0.003369
0.00045274,0.0033545
0.00032131,0.0031799
0.00046314,0.0030579
0.00043645,0.0031192
0.0001169,0.0032846
-0.00022494,0.0033695
-0.0003344,0.0033058
-0.00027224,0.003236
-0.00026611,0.0033519
-0.00038952,0.0036455
-0.00049861,0.0038672
-0.00045377,0.0037754
-0.00029663,0.0034253
-0.0001734,0.0031591
-0.00014847,0.0032756
-0.00015705,0.0037288
-0.00012298,0.0041785
-5.9267e-05,0.0043319
-3.1282e-05,0.0042
-6.0942e-05,0.0040192
-0.00010756,0.0039797
-0.00013318,0.0040911
-0.00014871,0.0042873
-0.00018365,0.0045551
-0.00023419,0.0048856
-0.00026413,0.0051608
-0.00024929,0.0052103
-0.00020005,0.0050083
-0.0001376,0.004753
-6.6283e-05,0.004679
1.9528e-05,0.0047978
0.000113,0.0048992
0.00019696,0.004827
0.00026838,0.0046867
0.00034446,0.0047318
0.00043319,0.0050527
0.00050473,0.0054443
0.00050802,0.0056189
0.00042167,0.0055025
0.00027995,0.0052736
0.00014106,0.005133
3.456e-05,0.0050951
-5.2139e-05,0.0050312
-0.00014047,0.0048501
-0.00022956,0.0045715
-0.00030581,0.0042525
-0.00037251,0.0039023
-0.00045211,0.0035129
-0.00055473,0.0031492
-0.00065772,0.0029276
-0.00073065,0.0028836
-0.00077829,0.0029095
-0.00084348,0.0028624
-0.00095804,0.0027271
-0.0010987,0.0026329
-0.0012054,0.0026876
-0.0012423,0.0028213
-0.0012314,0.002834
-0.0012184,0.0026053
-0.0012206,0.002233
-0.0012177,0.0019455
-0.0011925,0.0018719
-0.0011601,0.0019037
-0.0011477,0.0017963
-0.001156,0.0014223
-0.0011568,0.00092855
-0.0011291,0.0006227
-0.0010806,0.00068186
-0.0010271,0.00096192
-0.00096136,0.001113
-0.00086433,0.00092153
-0.00074438,0.00054667
-0.00064567,0.00038031
-0.00060051,0.00065109
-0.00058149,0.0011828
-0.00052323,0.0015665
-0.00040155,0.0015624
-0.00027823,0.0012977
-0.00025026,0.0010614
-0.00035401,0.00095848
-0.00053219,0.00082467
-0.00070058,0.00046985
-0.0008345,-6.667e-05
-0.00097411,-0.00054587
-0.001148,-0.00077526
-0.0013141,-0.00076779
-0.001395,-0.00066528
-0.0013682,-0.00057656
-0.0013038,-0.00053168
-0.0013016,-0.00054278
-0.0013947,-0.00062203
-0.001526,-0.00072535
-0.0016171,-0.00075137
-0.0016461,-0.00066211
-0.0016481,-0.00058068
-0.0016535,-0.00068856
-0.0016435,-0.00099961
-0.0015774,-0.0012894
-0.0014531,-0.0013082
-0.001324,-0.0010635
-0.0012496,-0.00083069
-0.0012327,-0.00086056
-0.0012166,-0.0011227
-0.0011471,-0.0013701
-0.0010358,-0.0014366
-0.00095048,-0.0014161
-0.00094031,-0.0015094
-0.00097281,-0.0017564
-0.00095864,-0.0019894
-0.00084521,-0.0020283
-0.00067831,-0.0018705
-0.00055607,-0.0016679
-0.00052002,-0.001542
-0.00050892,-0.0014812
-0.00043549,-0.0014172
-0.00029531,-0.0013334
-0.00016814,-0.0012739
-0.00010788,-0.001272
-7.2348e-05,-0.00131
1.138e-06,-0.0013624
7.2099e-05,-0.0014429
1.5054e-05,-0.0015763
-0.00020937,-0.0017392
-0.00045812,-0.0018551
-0.0005567,-0.0018581
-0.00053447,-0.0017484
-0.00060995,-0.0015785
-0.00088661,-0.0014041
-0.0011505,-0.0012674
-0.0011077,-0.0012113
-0.00081979,-0.001284
-0.00072947,-0.001494
-0.0011093,-0.0017507
-0.0015871,-0.0018893
-0.0014826,-0.001798
-0.0007272,-0.0015439
-0.00024546,-0.0013685
-0.001104,-0.001507
-0.0031937,-0.0019573
-0.0049885,-0.0024333
-0.0048805,-0.0025902
-0.002796,-0.0023378
-0.0003482,-0.0019401
0.00070324,-0.001768
8.6722e-05,-0.0019337
-0.00094385,-0.0021944
-0.0010935,-0.0022347
-0.0003468,-0.0020157
0.00025817,-0.0017912
-1.4969e-06,-0.0017764
-0.00066571,-0.0018783
-0.00070941,-0.0018313
0.00013615,-0.0015772
0.00098285,-0.0013931
0.00085945,-0.0015602
7.7303e-06,-0.0019579
-0.00026136,-0.0021251
0.00081821,-0.0017888
0.0022318,-0.0012425
0.0019896,-0.0010875
-0.00065353,-0.0015889
-0.0040246,-0.0023558
-0.0054246,-0.0027342
-0.0037593,-0.0024908
-0.00060717,-0.0019962
0.0014095,-0.0017462
0.0011508,-0.0018293
-0.0002869,-0.0019185
-0.0011275,-0.0017322
-0.00080159,-0.0013832
-0.0001492,-0.0012175
-9.3267e-05,-0.0013927
-0.0005707,-0.0017059
-0.00085212,-0.0018482
-0.0005694,-0.001765
-9.3843e-05,-0.0016861
5.272e-05,-0.0018257
-0.00014034,-0.0021282
-0.00025323,-0.002324
-3.1969e-05,-0.002232
0.00031351,-0.0019743
0.00042677,-0.0018523
0.00025777,-0.002035
8.3221e-05,-0.0023982
0.00013415,-0.002657
0.00033304,-0.002638
0.0004336,-0.00241
0.00033536,-0.0021694
0.00017944,-0.0020454
0.00015286,-0.0020265
0.00027781,-0.0020459
0.00042887,-0.0020783
0.00051363,-0.0021245
0.00057604,-0.0021496
0.00071587,-0.0021012
0.00095133,-0.0019852
0.001197,-0.0018785
0.0013665,-0.0018385
0.0014608,-0.0018191
0.0015403,-0.0017201
0.0016288,-0.0015364
0.0016739,-0.0014195
0.0016079,-0.0015432
0.001432,-0.0019058
0.0012211,-0.0023003
0.001049,-0.0024932
0.00092147,-0.0024257
0.00079411,-0.0022323
0.00064759,-0.0020812
0.00052767,-0.0020379
0.00049974,-0.0020823
0.00056802,-0.0021988
0.00065234,-0.0023924
0.00065432,-0.0026228
0.00054716,-0.0027768
0.00039495,-0.0027546
0.0002843,-0.0025825
0.00024565,-0.0024033
0.00024621,-0.0023412
0.00024927,-0.0023957
0.00026045,-0.0024809
0.0003056,-0.0025404
0.00037626,-0.0025889
0.00042159,-0.0026428
0.00040605,-0.0026567
0.00036121,-0.0025715
0.00035895,-0.0024129
0.00042765,-0.0022946
0.00050973,-0.0023011
0.00052196,-0.002382
0.00045812,-0.0024
0.00041347,-0.0022865
0.00049222,-0.0021178
0.00069306,-0.0020256
0.00089982,-0.0020487
0.00099248,-0.0020857
0.00096188,-0.0019888
0.000911,-0.001686
0.00095008,-0.0012248
0.0010984,-0.00074197
0.0012844,-0.00041395
0.0014231,-0.00039663
0.0014773,-0.00073588
0.0014529,-0.001292
0.0013663,-0.0017767
0.0012391,-0.001933
0.0011108,-0.0017343
0.001024,-0.0014162
0.00097659,-0.0012872
0.00090376,-0.0014733
0.00073536,-0.0018248
0.00048042,-0.002064
0.0002382,-0.0020387
0.00011225,-0.0018362
0.00011629,-0.0016594
0.00017088,-0.0016069
0.00019097,-0.0015832
0.00016391,-0.0014307
0.00013729,-0.0011369
0.00015009,-0.00086954
0.00019611,-0.00080048
0.0002488,-0.00091146
0.00029652,-0.00099555
0.0003383,-0.00087165
0.00036077,-0.00057628
0.00034553,-0.00031607
0.00030341,-0.00025467
0.00028172,-0.00037357
0.00032054,-0.0005355
0.00040726,-0.00065201
0.0004934,-0.00074438
0.00056018,-0.00083474
0.00064972,-0.00084066
0.00081563,-0.00064283
0.0010496,-0.00025045
0.0012769,0.00015862
0.0014316,0.00039805
0.0015237,0.00045837
0.0016185,0.00049625
0.0017559,0.00062986
0.0019097,0.00078845
0.0020301,0.00080858
0.0021053,0.00064834
0.0021593,0.00044119
0.0021948,0.00033165
0.0021697,0.00030618
0.0020508,0.00022475
0.0018767,9.1102e-06
0.0017355,-0.00024933
0.0016638,-0.00038536
0.0015887,-0.00032267
0.0013937,-0.00011286
0.0010472,0.00015926
0.00064616,0.00045285
0.0003255,0.0007411
0.00013586,0.000965
2.6937e-05,0.0010679
-6.2142e-05,0.0010597
-0.00012987,0.0010133
-0.00014404,0.0009915
-0.00012105,0.0010027
