ch1voltsWL2,ch4voltsWL2
0.00071046,-0.0025318
0.00070043,-0.0023265
0.00073581,-0.0020685
0.00078244,-0.0018356
0.00080985,-0.0016618
0.0008117,-0.0014835
0.00080459,-0.0011805
0.00081302,-0.00066714
0.00085127,5.3086e-05
0.000913,0.00090907
0.00097848,0.0018239
0.0010378,0.0027564
0.0011092,0.0036955
0.0012278,0.0046265
0.0014069,0.0055088
0.001609,0.006281
0.0017616,0.0068855
0.0018135,0.0072882
0.0017806,0.0074807
0.0017357,0.0074722
0.0017485,0.0072837
0.0018283,0.0069547
0.0019223,0.0065492
0.0019664,0.0061477
0.0019408,0.0058232
0.0018824,0.0056142
0.001845,0.0055166
0.0018483,0.0054984
0.0018593,0.0055228
0.0018239,0.0055637
0.00172,0.0056104
0.0015864,0.0056645
0.0014954,0.0057317
0.0014944,0.0058127
0.0015656,0.0058993
0.0016435,0.005986
0.0016736,0.0060922
0.0016571,0.0062689
0.0016382,0.0065663
0.0016519,0.0069779
0.0016881,0.0074174
0.0017081,0.0077644
0.0016896,0.0079506
0.0016494,0.0080087
0.001623,0.0080349
0.0016278,0.0081027
0.0016501,0.0082127
0.0016661,0.0083199
0.0016666,0.0084014
0.0016606,0.0084848
0.0016586,0.0086143
0.0016585,0.0087988
0.0016501,0.0090034
0.0016271,0.0091923
0.001593,0.0093731
0.0015571,0.0095988
0.0015262,0.0099234
0.0015012,0.010352
0.0014783,0.010833
0.0014549,0.011291
0.0014326,0.01168
0.0014148,0.012
0.0013995,0.012261
0.0013779,0.012437
0.0013425,0.012455
0.0012994,0.01225
0.0012664,0.011844
0.0012515,0.011347
0.0012339,0.010882
0.0011734,0.010497
0.0010464,0.010139
0.00087144,0.0097309
0.00069445,0.0092511
0.00054684,0.0087404
0.0004201,0.008241
0.00028328,0.00774
0.00012197,0.007182
-4.46e-05,0.006532
-0.00018375,0.0058167
-0.00028206,0.0051038
-0.00035725,0.0044501
-0.000442,0.003875
-0.0005579,0.0033783
-0.00069884,0.0029687
-0.00083283,0.0026643
-0.00092339,0.002464
-0.00096152,0.0023288
-0.00098354,0.0022002
-0.0010495,0.0020445
-0.0011882,0.0018798
-0.0013576,0.0017598
-0.0014688,0.0017264
-0.0014656,0.0017707
-0.0013826,0.0018349
-0.001317,0.0018591
-0.0013371,0.0018363
-0.0014202,0.0018275
-0.0014859,0.001917
-0.0014856,0.0021378
-0.0014511,0.0024335
-0.0014509,0.0026977
-0.0015095,0.0028616
-0.001578,0.0029489
-0.001583,0.0030443
-0.0014986,0.0032045
-0.0013692,0.0033966
-0.0012687,0.0035215
-0.0012428,0.003492
