ch1voltsWL1,ch5voltsWL1,ch1voltsWL2,ch5voltsWL2
0.23697,0.13393,0.6765,0.15215
0.23696,0.13399,0.67645,0.1518
0.23693,0.1342,0.67641,0.15119
0.23688,0.13418,0.67639,0.15061
0.23685,0.13379,0.67642,0.15032
0.23685,0.1332,0.67646,0.15031
0.23686,0.13271,0.6765,0.15036
0.23685,0.13249,0.67652,0.15028
0.23681,0.13257,0.67652,0.15007
0.23677,0.13275,0.67653,0.14991
0.23676,0.1328,0.67656,0.14995
0.23678,0.13256,0.6766,0.15011
0.23679,0.13218,0.67664,0.15017
0.23678,0.13196,0.67666,0.14996
0.23675,0.1321,0.67669,0.14962
0.23674,0.13241,0.67672,0.14944
0.23676,0.13252,0.67674,0.14958
0.23679,0.13224,0.67674,0.1499
0.23681,0.13181,0.67674,0.15009
0.23682,0.13157,0.67674,0.14999
0.23681,0.13162,0.67677,0.14974
0.23682,0.13169,0.67684,0.14958
0.23684,0.13162,0.67695,0.14955
0.23686,0.13154,0.67709,0.14953
0.23689,0.13171,0.67723,0.14946
0.23691,0.13207,0.67731,0.14946
0.23695,0.13225,0.67732,0.14972
0.23698,0.132,0.67731,0.15019
0.23701,0.13153,0.67734,0.1506
0.23704,0.13131,0.67746,0.15074
0.23708,0.13156,0.67764,0.15065
0.23711,0.13198,0.6778,0.15053
0.23712,0.13208,0.67788,0.15039
0.2371,0.13163,0.67784,0.15005
0.23708,0.13086,0.67772,0.14936
0.23709,0.13021,0.67755,0.14853
0.23711,0.12992,0.67736,0.14793
0.23712,0.12994,0.67718,0.14775
0.2371,0.12998,0.677,0.14776
0.23705,0.12981,0.67686,0.14761
0.23702,0.12943,0.67677,0.14723
0.23703,0.12906,0.67674,0.14689
0.23707,0.12894,0.67674,0.14686
0.23712,0.12905,0.67677,0.14706
0.23714,0.12908,0.6768,0.14719
0.23714,0.12884,0.67683,0.14706
0.23714,0.12846,0.67687,0.14684
0.23716,0.12835,0.67691,0.14681
0.2372,0.1287,0.67695,0.14704
0.23723,0.12923,0.67697,0.14734
0.23724,0.12943,0.67699,0.14746
0.23723,0.12912,0.67702,0.14739
0.23724,0.12867,0.67706,0.14734
0.23723,0.12861,0.6771,0.14746
0.23721,0.12908,0.67712,0.14769
0.23719,0.12969,0.67714,0.14787
0.23721,0.12992,0.67716,0.14793
0.23729,0.12961,0.6772,0.14789
0.23737,0.129,0.67723,0.14785
0.23739,0.12856,0.67726,0.14784
0.23737,0.12856,0.67729,0.14788
0.23736,0.12893,0.67733,0.148
0.23742,0.12937,0.67738,0.14826
0.2375,0.12959,0.67744,0.14857
0.23754,0.12956,0.67749,0.14877
0.23753,0.12956,0.67754,0.14875
0.23752,0.1298,0.67761,0.1486
0.23757,0.13024,0.67769,0.14858
0.23767,0.13053,0.67778,0.14881
0.23776,0.13045,0.67788,0.14913
0.2378,0.13009,0.67798,0.14922
0.23778,0.12977,0.67809,0.14894
0.23777,0.12965,0.67816,0.14848
0.23778,0.12959,0.67814,0.14814
0.2378,0.12935,0.67803,0.14801
0.23779,0.1289,0.67786,0.14794
0.23778,0.12846,0.67769,0.14771
0.23777,0.12827,0.67753,0.1473
0.23777,0.12833,0.67739,0.14692
0.23777,0.12847,0.67727,0.14676
0.23776,0.12852,0.67717,0.14682
0.23774,0.1285,0.67713,0.14698
0.23775,0.12848,0.67714,0.1471
0.23778,0.12845,0.67716,0.14718
0.23781,0.12838,0.67719,0.14725
0.23782,0.12825,0.6772,0.14726
0.23782,0.12818,0.67721,0.14709
0.23783,0.12829,0.67722,0.14671
0.23787,0.12852,0.67721,0.14631
0.2379,0.12863,0.6772,0.14614
0.23789,0.12849,0.6772,0.14631
0.23786,0.12819,0.6772,0.14668
0.23784,0.12804,0.67724,0.14697
0.23788,0.12819,0.67729,0.14705
0.23794,0.12852,0.67734,0.14698
0.23797,0.12881,0.6774,0.14693
0.23796,0.129,0.67745,0.14701
0.23793,0.12919,0.67749,0.14719
0.23794,0.12942,0.67752,0.14737
0.23798,0.12955,0.67754,0.14749
0.23802,0.12943,0.67754,0.14762
0.23801,0.12917,0.67753,0.1478
0.23798,0.12909,0.67753,0.14806
0.23797,0.12933,0.67756,0.14833
0.23799,0.12967,0.67763,0.14852
0.23801,0.12974,0.67771,0.14859
0.23803,0.12955,0.67778,0.14855
0.23805,0.12945,0.67783,0.14851
0.2381,0.12971,0.67789,0.14857
0.23817,0.13011,0.67798,0.14874
0.23822,0.13011,0.6781,0.14888
0.23824,0.12949,0.67822,0.1488
0.23822,0.12863,0.67831,0.14843
0.2382,0.12812,0.67836,0.14787
0.23821,0.12811,0.67833,0.1473
0.23824,0.12827,0.67821,0.14688
0.23825,0.12815,0.67801,0.14663
0.23822,0.12774,0.67778,0.14649
0.23819,0.12737,0.67756,0.14641
0.23815,0.12729,0.67738,0.14639
0.23814,0.1274,0.67724,0.1464
0.23813,0.12748,0.67715,0.14642
0.23812,0.12752,0.67712,0.14645
0.23813,0.1277,0.67714,0.14649
0.23816,0.12805,0.67719,0.14653
0.23819,0.12833,0.67723,0.14651
0.2382,0.12831,0.67722,0.14638
0.23817,0.12806,0.67719,0.14623
0.23813,0.12795,0.67716,0.14622
0.23811,0.12816,0.67717,0.14647
0.23813,0.12851,0.67719,0.14688
0.23816,0.12858,0.67721,0.14715
0.23817,0.12828,0.67724,0.14708
0.23815,0.12791,0.67732,0.1468
0.23814,0.1279,0.67743,0.14667
0.23815,0.12836,0.67754,0.14691
0.23817,0.12895,0.67758,0.1474
0.2382,0.12927,0.67756,0.14776
0.23821,0.12925,0.67752,0.14779
0.23823,0.12918,0.67751,0.14762
0.23824,0.12936,0.67751,0.14758
0.23823,0.12974,0.67748,0.14782
0.23819,0.12999,0.67742,0.14815
0.23813,0.12987,0.67735,0.1483
0.23809,0.12948,0.67733,0.14822
0.2381,0.12924,0.67734,0.14818
0.23815,0.12947,0.67736,0.14841
0.2382,0.13015,0.67738,0.14888
0.23822,0.13099,0.67744,0.1493
0.23825,0.13161,0.67756,0.14948
0.23831,0.13181,0.67775,0.14949
0.23838,0.13165,0.67795,0.14961
0.23841,0.13136,0.6781,0.14995
0.23839,0.13121,0.67819,0.15031
0.23836,0.13126,0.6782,0.1504
0.23836,0.13138,0.67814,0.15014
0.23841,0.13144,0.67801,0.14971
0.23846,0.13147,0.67782,0.14934
0.23845,0.1316,0.67759,0.14909
0.23843,0.13189,0.67739,0.14887
0.23842,0.13217,0.67722,0.14869
0.23844,0.13232,0.67708,0.14872
0.23846,0.13243,0.67696,0.14907
0.23844,0.1327,0.67687,0.14964
0.23839,0.13315,0.67682,0.15012
0.23837,0.13358,0.6768,0.15032
0.23838,0.13379,0.67676,0.15024
0.2384,0.13381,0.6767,0.15005
0.2384,0.1338,0.67661,0.14982
0.23837,0.13385,0.67655,0.14959
0.23835,0.13388,0.67656,0.14946
0.23834,0.13386,0.67661,0.14963
0.23833,0.13395,0.67667,0.15019
0.23831,0.13429,0.67671,0.15092
0.23827,0.13476,0.67677,0.15149
0.23827,0.13506,0.67683,0.1517
0.2383,0.13511,0.67689,0.15171
0.23833,0.13517,0.67688,0.15178
0.23831,0.13555,0.6768,0.152
0.23825,0.13624,0.67669,0.15216
0.2382,0.13681,0.67663,0.15212
0.2382,0.13688,0.67663,0.15193
0.23822,0.13651,0.67665,0.15185
0.23822,0.13615,0.67662,0.15205
0.23818,0.13618,0.67656,0.15239
0.23816,0.13661,0.67654,0.15263
0.23818,0.13707,0.6766,0.15268
0.23826,0.13724,0.6767,0.15268
0.23832,0.1371,0.67679,0.15284
0.23833,0.13692,0.67684,0.1532
0.23833,0.13703,0.67689,0.15363
0.23836,0.13749,0.677,0.15397
0.23843,0.13808,0.67714,0.15414
0.23846,0.13849,0.67723,0.15419
0.23842,0.13852,0.67723,0.15416
0.23834,0.13828,0.67713,0.15406
0.23831,0.1381,0.67698,0.1539
0.23834,0.13818,0.67681,0.15372
0.23838,0.13841,0.67662,0.15359
0.23838,0.1385,0.6764,0.15352
0.23831,0.1383,0.67617,0.15345
0.23824,0.13804,0.67598,0.15338
0.23822,0.13815,0.67585,0.1534
0.23825,0.13877,0.67576,0.15362
0.23828,0.13952,0.67567,0.15399
0.23826,0.13986,0.67558,0.15428
0.23822,0.13959,0.6755,0.15421
0.23817,0.13913,0.67547,0.15374
0.23816,0.13905,0.67547,0.1532
0.23817,0.13951,0.67545,0.15302
0.23816,0.14014,0.67542,0.15338
0.23813,0.14046,0.67538,0.15403
0.23808,0.14039,0.67538,0.15456
0.23805,0.1403,0.67539,0.15474
0.23803,0.14051,0.6754,0.15475
0.23801,0.14098,0.67536,0.15491
0.23799,0.14139,0.6753,0.15535
0.23798,0.1415,0.67524,0.15587
0.238,0.14138,0.67518,0.15616
0.23801,0.14128,0.67512,0.1561
0.23798,0.14138,0.67505,0.15591
0.23793,0.14169,0.67501,0.1559
0.23791,0.14206,0.67501,0.15618
0.23793,0.14238,0.67505,0.15656
0.23796,0.14262,0.67508,0.15675
0.23796,0.14282,0.6751,0.15666
0.23791,0.14301,0.67513,0.1565
0.23788,0.14319,0.6752,0.15657
0.23791,0.1433,0.67529,0.15694
0.23798,0.14339,0.67536,0.15741
0.23802,0.14354,0.67538,0.15769
0.23801,0.14376,0.67539,0.15774
0.23799,0.14403,0.67543,0.15772
0.23799,0.14433,0.67553,0.15782
0.238,0.14465,0.67561,0.158
0.23799,0.14488,0.67559,0.15811
0.23794,0.14488,0.67546,0.15807
0.2379,0.14459,0.67528,0.15798
0.2379,0.14418,0.67511,0.15796
0.23794,0.14389,0.67494,0.15794
0.23795,0.14382,0.67476,0.15772
0.2379,0.14378,0.67455,0.15723
0.23783,0.14365,0.67437,0.15666
0.2378,0.14355,0.67426,0.15631
0.23782,0.14373,0.67422,0.15635
0.23784,0.14417,0.6742,0.15664
0.23782,0.14453,0.67416,0.15695
0.23775,0.14455,0.67411,0.15714
0.23769,0.14443,0.67404,0.15725
0.23768,0.14459,0.67397,0.15738
0.23767,0.14516,0.67388,0.15759
0.23764,0.14576,0.6738,0.15784
0.23758,0.14596,0.67376,0.15806
0.23753,0.14583,0.67379,0.15824
0.23749,0.14587,0.67383,0.15835
0.23747,0.14634,0.67382,0.1584
0.23743,0.14692,0.67375,0.15839
0.23737,0.14706,0.67365,0.15833
0.23734,0.14667,0.67358,0.15826
0.23736,0.14623,0.67356,0.15818
0.2374,0.14623,0.67354,0.15813
0.23742,0.14662,0.6735,0.15812
0.23739,0.14689,0.67345,0.15816
0.23734,0.14675,0.67344,0.15822
0.23733,0.14641,0.6735,0.15827
0.23733,0.14637,0.6736,0.15836
0.23733,0.14681,0.67371,0.15859
0.23729,0.14735,0.67383,0.159
0.23726,0.14751,0.67397,0.15947
0.23726,0.14718,0.67416,0.15979
0.23731,0.14676,0.67436,0.15986
0.23736,0.14669,0.67456,0.15981
0.23737,0.14697,0.67474,0.15985
0.23736,0.14724,0.67493,0.16002
0.23737,0.14721,0.67515,0.16014
0.23739,0.14692,0.67536,0.15999
0.23741,0.14651,0.67546,0.15954
0.2374,0.14595,0.67541,0.15904
0.23736,0.14509,0.67523,0.15868
0.23732,0.14404,0.67497,0.15841
0.23729,0.1432,0.6747,0.15793
0.23724,0.14289,0.67444,0.15711
0.23715,0.14289,0.67422,0.15618
0.23705,0.14274,0.67408,0.15559
0.23698,0.14228,0.67402,0.15555
0.23695,0.14181,0.674,0.15581
0.23692,0.14167,0.67397,0.15587
0.23684,0.1417,0.67391,0.15548
0.23672,0.14144,0.67384,0.15485
0.2366,0.1408,0.67382,0.15443
0.23653,0.14021,0.67385,0.15446
0.23649,0.14014,0.67389,0.15472
0.23646,0.14048,0.67391,0.15483
0.23642,0.14062,0.6739,0.15466
0.23637,0.14017,0.67391,0.1544
0.23632,0.13941,0.67395,0.15429
0.2363,0.13889,0.67401,0.15438
0.23627,0.13884,0.67406,0.15444
0.23624,0.13897,0.67409,0.15432
0.23622,0.13895,0.67414,0.15402
0.23623,0.1388,0.67419,0.15374
0.23624,0.13879,0.67424,0.15358
0.23625,0.13893,0.67426,0.15355
0.23624,0.13896,0.67426,0.1536
0.23623,0.13871,0.67427,0.15366
0.23623,0.13832,0.67431,0.15363
0.23623,0.13807,0.67439,0.15342
0.23623,0.13805,0.67449,0.15302
0.23622,0.1381,0.67458,0.15265
0.23621,0.13804,0.67467,0.15256
0.23621,0.13784,0.67475,0.15276
0.23624,0.13754,0.67481,0.15294
0.23627,0.13711,0.67483,0.1528
0.23629,0.13663,0.67482,0.15241
0.2363,0.13634,0.67485,0.1522
0.23631,0.13637,0.67495,0.15243
0.23632,0.13651,0.67509,0.15283
0.23632,0.13631,0.67519,0.1528
0.2363,0.13567,0.6752,0.15203
0.23628,0.13494,0.67514,0.1509
0.23627,0.13453,0.67505,0.1501
0.23627,0.13442,0.67496,0.14998
0.23625,0.13423,0.67486,0.15026
0.23619,0.13379,0.67472,0.15039
0.23611,0.13338,0.67456,0.15017
0.23605,0.13336,0.67442,0.14985
0.23606,0.13359,0.67435,0.14972
0.23611,0.13361,0.67435,0.14977
0.23613,0.13322,0.67435,0.14972
0.2361,0.13268,0.67432,0.14938
0.23604,0.13238,0.67428,0.14889
0.23601,0.13234,0.67426,0.14855
0.23602,0.13226,0.67429,0.14845
0.23603,0.132,0.67433,0.14841
0.23601,0.13169,0.67435,0.14822
0.23599,0.1315,0.67438,0.1479
0.23599,0.13139,0.67444,0.14768
0.23602,0.13114,0.67454,0.14772
0.23605,0.13071,0.67465,0.1479
0.23605,0.13026,0.67472,0.14796
