ch1voltsWL1,ch5voltsWL1,ch1voltsWL2,ch5voltsWL2
0.095492,0.061301,0.28365,0.051083
0.18769,0.13208,0.55447,0.11153
0.30052,0.18387,0.92271,0.20086
0.29282,0.15039,0.87373,0.20259
0.22607,0.1269,0.59843,0.15324
0.20572,0.15341,0.54594,0.13365
0.23542,0.15795,0.74611,0.16231
0.2588,0.14368,0.82577,0.18119
0.24886,0.13668,0.7225,0.17063
0.2306,0.14279,0.60048,0.15399
0.23041,0.1481,0.61026,0.15023
0.24231,0.14634,0.72948,0.16059
0.24726,0.14218,0.76599,0.16639
0.24108,0.14067,0.69397,0.16354
0.23498,0.1417,0.62474,0.15917
0.23648,0.14286,0.63873,0.15709
0.24133,0.14284,0.7122,0.16012
0.24255,0.14192,0.73626,0.16348
0.23976,0.14109,0.69069,0.16265
0.23759,0.14105,0.64516,0.15865
0.23847,0.14157,0.65336,0.15615
0.24039,0.14173,0.69915,0.15871
0.2407,0.141,0.71712,0.16174
0.23948,0.13992,0.68964,0.16006
0.23863,0.13936,0.65887,0.15537
0.23902,0.13937,0.66215,0.15325
0.23977,0.13916,0.69057,0.15596
0.23984,0.13825,0.70386,0.15877
0.23931,0.13714,0.68778,0.15749
0.23895,0.13671,0.66722,0.15399
0.2391,0.13704,0.66786,0.15281
0.23937,0.13738,0.68564,0.15502
0.23936,0.13709,0.69545,0.15681
0.23912,0.13632,0.68629,0.15532
0.23897,0.13576,0.67272,0.15237
0.23903,0.13575,0.67211,0.15147
0.23912,0.13596,0.68314,0.15325
0.23906,0.13588,0.69013,0.1549
0.23891,0.1354,0.68498,0.15425
0.23881,0.13488,0.67604,0.15237
0.23881,0.13465,0.67489,0.15169
0.23887,0.1347,0.68163,0.15277
0.23888,0.13476,0.68656,0.15389
0.23886,0.13464,0.68386,0.15353
0.23882,0.13441,0.67816,0.15218
0.2388,0.13424,0.677,0.15139
0.23877,0.13416,0.6811,0.15176
0.23874,0.13411,0.68454,0.1525
0.23874,0.13405,0.68323,0.15265
0.23875,0.13405,0.67962,0.1523
0.23876,0.13411,0.67858,0.15215
0.23877,0.13412,0.681,0.15248
0.23877,0.13397,0.68336,0.15285
0.23877,0.13376,0.68283,0.1528
0.23878,0.13369,0.68065,0.15249
0.23878,0.13379,0.67987,0.15238
0.23878,0.13384,0.68128,0.15264
0.23881,0.13362,0.6828,0.15293
0.23886,0.13319,0.68255,0.15289
0.23891,0.13284,0.68116,0.15254
0.23894,0.13271,0.68057,0.15214
0.23895,0.13264,0.68146,0.15186
0.23896,0.13237,0.68257,0.15164
0.23896,0.13189,0.68256,0.1514
0.23897,0.13146,0.68165,0.15115
0.23897,0.13125,0.68104,0.15091
0.23897,0.13114,0.68129,0.15063
0.23896,0.13087,0.68176,0.15022
0.23896,0.13036,0.68162,0.14977
0.23895,0.1298,0.68097,0.14948
0.23893,0.12947,0.68053,0.14941
0.23891,0.12947,0.68069,0.1494
0.2389,0.12973,0.68106,0.14921
0.2389,0.13009,0.6811,0.14887
0.23889,0.13035,0.68077,0.14863
0.23888,0.13031,0.68051,0.14871
0.23887,0.12998,0.68059,0.14901
0.23885,0.12962,0.68081,0.14929
0.23886,0.12962,0.68085,0.14939
0.23888,0.13003,0.68065,0.1494
0.2389,0.13044,0.68048,0.14946
0.23891,0.13047,0.68055,0.14956
0.23893,0.13018,0.68078,0.14956
0.23896,0.13004,0.68098,0.14947
0.23898,0.13033,0.68107,0.14949
0.239,0.13076,0.68113,0.14977
0.239,0.13079,0.68124,0.15016
0.23901,0.13033,0.68133,0.1503
0.23904,0.12987,0.68134,0.15005
0.23909,0.12995,0.68124,0.14971
0.23911,0.13052,0.68114,0.14973
0.23909,0.13111,0.68111,0.15025
0.23906,0.13132,0.68113,0.15091
0.23906,0.13127,0.68113,0.15122
0.23911,0.13119,0.68112,0.15106
0.23917,0.1311,0.68114,0.15072
0.23919,0.13081,0.68119,0.15056
0.23919,0.13039,0.68125,0.15066
0.23921,0.13024,0.68129,0.1508
0.23927,0.13063,0.68133,0.1508
0.23934,0.13123,0.68143,0.15065
0.2394,0.1314,0.68159,0.15045
0.23941,0.1309,0.68178,0.15027
0.23942,0.13017,0.68191,0.15006
0.23943,0.12982,0.68193,0.14984
0.23946,0.12997,0.68186,0.14966
0.23947,0.13022,0.68171,0.14953
0.23944,0.13015,0.68153,0.14938
0.23941,0.12979,0.68133,0.14912
0.23938,0.12948,0.68111,0.14884
0.23936,0.12942,0.6809,0.14875
0.23933,0.12954,0.68072,0.14895
0.2393,0.12966,0.68059,0.14928
0.23929,0.12972,0.68054,0.14944
0.23931,0.12982,0.68054,0.14928
0.23936,0.13,0.68056,0.14892
0.23939,0.13009,0.68057,0.14861
0.23939,0.12988,0.68057,0.14848
0.23937,0.12936,0.68058,0.14843
0.23936,0.12886,0.68061,0.14839
0.23938,0.12876,0.68068,0.14843
0.23941,0.12915,0.68077,0.14874
0.23943,0.12975,0.68084,0.14931
0.23942,0.13024,0.68091,0.14984
0.23941,0.13054,0.68097,0.14998
0.2394,0.13081,0.68103,0.14976
0.2394,0.13112,0.68107,0.14954
0.23942,0.13133,0.68108,0.14969
0.23944,0.13122,0.68105,0.15015
0.23945,0.13083,0.681,0.1505
0.23947,0.13042,0.68096,0.15037
0.23948,0.13023,0.68092,0.14988
0.23948,0.1303,0.68087,0.14955
0.23948,0.13047,0.68082,0.14976
0.23949,0.13053,0.68082,0.15033
0.23951,0.13039,0.68088,0.15071
0.23953,0.1301,0.681,0.15055
0.23955,0.12981,0.68112,0.15008
0.23956,0.1297,0.6812,0.14984
0.23958,0.12988,0.68125,0.15012
0.23963,0.13029,0.68134,0.15064
0.23971,0.13067,0.68146,0.15088
0.23976,0.13075,0.68161,0.15066
0.23977,0.13042,0.68171,0.15027
0.23972,0.12986,0.68174,0.15006
0.23969,0.12941,0.68169,0.15005
0.23969,0.1293,0.68158,0.14993
0.23972,0.12945,0.68143,0.14951
0.23972,0.12955,0.68121,0.14898
0.23967,0.12938,0.68096,0.1487
0.2396,0.12904,0.68072,0.14881
0.23957,0.12891,0.68054,0.1491
0.23959,0.1292,0.68042,0.1493
0.23962,0.12978,0.68036,0.14932
0.23963,0.13026,0.68032,0.14925
0.23962,0.13043,0.68033,0.14918
0.2396,0.13031,0.68039,0.14912
0.23961,0.1301,0.68049,0.14906
0.23964,0.12987,0.68059,0.14908
0.23967,0.12964,0.68065,0.14923
0.23967,0.12943,0.68063,0.14944
0.23963,0.12937,0.68057,0.14952
0.23958,0.12954,0.68052,0.14943
0.23955,0.12985,0.68051,0.14932
0.23956,0.13016,0.68055,0.1494
0.23959,0.13034,0.68062,0.14971
0.23961,0.13035,0.68067,0.15003
0.2396,0.13028,0.68068,0.15009
0.23958,0.13022,0.68065,0.14984
0.23956,0.13018,0.68058,0.1495
0.23956,0.1301,0.68051,0.14934
0.23956,0.12995,0.68048,0.14944
0.23957,0.12982,0.68048,0.14965
0.23959,0.12984,0.68051,0.14977
0.23962,0.12999,0.68054,0.14975
0.23963,0.13017,0.68056,0.14974
0.23961,0.13029,0.68058,0.14991
0.23959,0.13041,0.68062,0.15025
0.23959,0.13057,0.68068,0.15055
0.23961,0.13074,0.68071,0.15062
0.23963,0.13086,0.68071,0.15052
0.23966,0.13104,0.68074,0.15049
0.23968,0.13145,0.68082,0.15078
0.23969,0.13207,0.68097,0.15131
0.23969,0.13254,0.68112,0.15175
0.23967,0.13254,0.68117,0.15184
0.23964,0.13217,0.68113,0.15162
0.23964,0.1319,0.68103,0.15137
0.23967,0.13207,0.68091,0.15133
0.23971,0.13251,0.68077,0.15141
0.23973,0.13279,0.68058,0.15139
0.23973,0.13281,0.68038,0.15118
0.23972,0.13281,0.68021,0.15093
0.23974,0.13306,0.68012,0.15085
0.23976,0.13347,0.68008,0.15096
0.23977,0.13376,0.68006,0.15117
0.23976,0.13388,0.68004,0.15145
0.23975,0.13403,0.68004,0.15183
0.23975,0.13436,0.68007,0.15231
0.23975,0.13469,0.68007,0.15267
0.23975,0.13479,0.68001,0.15265
0.23974,0.13473,0.67994,0.15226
0.23974,0.13482,0.67989,0.15189
0.23975,0.13526,0.67987,0.15194
0.23973,0.13581,0.67983,0.15245
0.23965,0.13609,0.67975,0.15308
0.23958,0.13602,0.67968,0.1535
0.23956,0.1359,0.67968,0.15364
0.23961,0.13595,0.67973,0.15367
0.23967,0.13612,0.67976,0.15374
0.23969,0.13616,0.67971,0.1538
0.23964,0.13601,0.67961,0.15377
0.23959,0.1359,0.67955,0.15374
0.23954,0.13604,0.67957,0.15387
0.23953,0.13638,0.67961,0.15417
0.23952,0.13672,0.67963,0.15447
0.23952,0.13689,0.67962,0.15463
0.23952,0.13694,0.67964,0.15468
0.23954,0.13701,0.67974,0.15479
0.23956,0.13724,0.67985,0.15502
0.23958,0.13768,0.67991,0.15527
0.2396,0.13821,0.67991,0.15549
0.23962,0.13856,0.67991,0.15579
0.23964,0.13859,0.67998,0.15622
0.23967,0.13848,0.6801,0.1566
0.23968,0.13862,0.68019,0.15662
0.23967,0.13918,0.6802,0.15623
0.23965,0.13981,0.68012,0.15577
0.23963,0.14001,0.68,0.15568
0.23963,0.13965,0.67987,0.156
0.23963,0.13919,0.67972,0.15632
0.23963,0.13914,0.67957,0.15624
0.2396,0.13955,0.6794,0.15581
0.23957,0.13999,0.67926,0.15545
0.23954,0.1401,0.67914,0.15546
0.23952,0.13999,0.67902,0.1557
0.23948,0.13996,0.67889,0.15587
0.23945,0.14012,0.67878,0.1559
0.23944,0.14031,0.6787,0.15599
0.23945,0.14039,0.67865,0.15629
0.23947,0.14045,0.6786,0.15661
0.23945,0.14062,0.67852,0.15669
0.2394,0.14085,0.67843,0.15654
0.23935,0.14095,0.67835,0.15644
0.23933,0.14086,0.67829,0.15662
0.23932,0.14076,0.67827,0.15697
0.2393,0.14087,0.67827,0.15717
0.23926,0.14124,0.67828,0.15709
0.23922,0.14173,0.6783,0.15696
0.23919,0.14219,0.67831,0.15705
0.2392,0.14254,0.67827,0.15736
0.23921,0.14269,0.6782,0.15761
0.23922,0.1426,0.67812,0.1576
0.23922,0.14236,0.67807,0.15743
0.23922,0.14227,0.67805,0.15739
0.23921,0.14254,0.67804,0.15766
0.23918,0.1431,0.67802,0.1581
0.23914,0.14366,0.67801,0.15845
0.23911,0.14401,0.67803,0.15856
0.23912,0.14414,0.67809,0.15854
0.23915,0.14414,0.67815,0.15862
0.23918,0.14409,0.67819,0.15892
0.23919,0.14408,0.67821,0.15933
0.23918,0.14428,0.67823,0.15967
0.23919,0.14478,0.6783,0.15982
0.23921,0.14541,0.6784,0.15982
0.23923,0.14583,0.67846,0.15979
0.23922,0.14582,0.67845,0.15978
0.23921,0.14552,0.67839,0.15974
0.2392,0.14517,0.67828,0.15968
0.2392,0.1449,0.67814,0.15963
0.23918,0.14475,0.67795,0.15966
0.23912,0.14477,0.67772,0.15976
0.23905,0.14501,0.6775,0.1598
0.23902,0.14539,0.67734,0.15971
0.23903,0.14572,0.67725,0.15953
0.23904,0.14589,0.67717,0.1594
0.23901,0.146,0.67707,0.1594
0.23894,0.14617,0.67696,0.15948
0.23888,0.1463,0.67685,0.15957
0.23885,0.14621,0.67675,0.15958
0.23884,0.14596,0.67667,0.15954
0.23883,0.14584,0.6766,0.15947
0.2388,0.14597,0.67656,0.15943
0.23875,0.14613,0.67655,0.15945
0.23871,0.14604,0.67655,0.15955
0.23867,0.14577,0.67654,0.15969
0.23863,0.14576,0.67651,0.15984
0.23858,0.14623,0.67647,0.15997
0.23855,0.14687,0.67645,0.16006
0.23856,0.14714,0.67645,0.16011
0.23858,0.1469,0.67645,0.16008
0.23858,0.14659,0.67642,0.15999
0.23855,0.14671,0.67638,0.15993
0.2385,0.14731,0.67634,0.16002
0.23848,0.148,0.67631,0.16029
0.23848,0.14841,0.67629,0.16062
0.23847,0.14851,0.67626,0.16087
0.23845,0.14853,0.67626,0.16101
0.23842,0.14865,0.67631,0.16113
0.23842,0.14886,0.67639,0.1613
0.23845,0.14906,0.67648,0.1615
0.23846,0.14913,0.67656,0.16168
0.23845,0.14906,0.67665,0.16182
0.23842,0.14889,0.67679,0.16199
0.23842,0.14871,0.677,0.16224
0.23847,0.14862,0.67727,0.16248
0.23853,0.14857,0.6775,0.1626
0.23853,0.14841,0.67764,0.16256
0.23848,0.14804,0.67767,0.1624
0.23841,0.14758,0.67762,0.16212
0.23837,0.14727,0.67754,0.16168
0.23836,0.14716,0.67744,0.16108
0.23836,0.14701,0.67732,0.16044
0.23833,0.14656,0.67719,0.15995
0.23826,0.14582,0.67704,0.1597
0.23819,0.14508,0.67689,0.15956
0.23814,0.14454,0.67671,0.15932
0.23811,0.14415,0.67652,0.15892
0.23806,0.14369,0.67635,0.15842
0.23797,0.14304,0.67624,0.15792
0.23787,0.14234,0.67619,0.15743
0.23778,0.14179,0.67617,0.15688
0.23769,0.14147,0.67616,0.15629
0.2376,0.14132,0.67615,0.15578
0.23753,0.1412,0.67617,0.15547
0.23747,0.14105,0.67622,0.15538
0.23744,0.14083,0.67631,0.15545
0.2374,0.14058,0.67639,0.15564
0.23733,0.14038,0.67645,0.1559
0.23727,0.14032,0.67651,0.15616
0.23722,0.14041,0.67658,0.15633
0.23722,0.14055,0.67662,0.15638
0.23723,0.14069,0.67661,0.15632
0.23724,0.14079,0.67656,0.15624
0.23721,0.14075,0.6765,0.15616
0.23718,0.14045,0.67651,0.15607
0.23715,0.13986,0.67658,0.15597
0.23714,0.13925,0.67666,0.15588
0.23713,0.13895,0.67673,0.15581
0.23714,0.13907,0.67681,0.15567
0.23716,0.13937,0.67692,0.1554
0.2372,0.13948,0.67708,0.15512
0.23724,0.1393,0.67723,0.15506
0.23726,0.13904,0.67735,0.15537
0.23726,0.13896,0.67744,0.15584
0.23725,0.139,0.67754,0.1561
0.23727,0.13884,0.67764,0.15593
0.23728,0.13825,0.67772,0.15547
0.23725,0.13742,0.67771,0.15509
0.23721,0.13682,0.67762,0.1549
0.23717,0.13673,0.67748,0.15472
0.23715,0.13696,0.6773,0.15423
0.23715,0.13699,0.6771,0.15345
0.23712,0.13642,0.6769,0.1527
0.23706,0.13538,0.67672,0.1523
0.237,0.1344,0.67659,0.15222
