ch1voltsWL2,ch4voltsWL2
4.3767e-05,-0.00091956
5.733e-05,-0.00095484
6.296e-05,-0.00099541
6.1361e-05,-0.0010347
6.5841e-05,-0.0010664
8.631e-05,-0.001087
0.00011765,-0.0010938
0.0001465,-0.0010829
0.00016731,-0.0010523
0.00018744,-0.0010068
0.00021514,-0.00095647
0.00024623,-0.0009083
0.00026691,-0.00085982
0.00026953,-0.00080412
0.00026351,-0.00074006
0.00026931,-0.00067408
0.00030112,-0.00061137
0.00035669,-0.00054735
0.00042336,-0.00047119
0.00048968,-0.0003795
0.00054946,-0.00028419
0.0005977,-0.00020351
0.00062898,-0.00014475
0.00064341,-9.7386e-05
0.00065213,-4.5103e-05
0.00067229,1.6687e-05
0.00071372,7.7807e-05
0.00077017,0.00012712
0.00082429,0.00016589
0.00086208,0.00020587
0.0008837,0.00025696
0.00090172,0.00032055
0.00092994,0.00039528
0.00097338,0.00048505
0.0010266,0.00059746
0.0010794,0.0007348
0.0011239,0.00088996
0.0011587,0.0010531
0.0011888,0.0012202
0.0012231,0.0013903
0.0012704,0.0015559
0.001336,0.0017
0.0014201,0.0018074
0.0015163,0.0018776
0.0016127,0.0019234
0.0016965,0.001957
0.0017618,0.0019808
0.0018126,0.0019928
0.0018566,0.0019961
0.0018931,0.0019968
0.0019102,0.0019934
0.0018954,0.0019733
0.0018516,0.0019265
0.0017983,0.0018588
0.001755,0.0017873
0.0017257,0.001722
0.0017004,0.001657
0.001671,0.001582
0.0016414,0.0014996
0.0016227,0.001428
0.0016204,0.0013833
0.0016305,0.0013645
0.0016468,0.001357
0.0016661,0.0013505
0.0016859,0.0013498
0.0016994,0.0013674
0.0016987,0.0014069
0.0016838,0.0014552
0.0016679,0.0014937
0.0016696,0.0015136
0.001696,0.0015209
0.0017344,0.0015287
0.0017628,0.0015446
0.0017692,0.001567
0.0017645,0.0015905
0.0017724,0.001615
0.0018085,0.0016484
0.0018644,0.0017012
0.0019144,0.0017746
0.0019376,0.0018557
0.0019362,0.0019263
0.001934,0.0019796
0.0019543,0.0020293
0.0019974,0.0020965
0.0020389,0.0021871
0.0020513,0.0022832
0.0020316,0.0023623
0.0020069,0.002424
0.0020119,0.0024927
0.0020594,0.0025932
0.0021336,0.0027264
0.0022104,0.0028733
0.0022824,0.0030191
0.0023596,0.0031668
0.0024493,0.0033246
0.0025388,0.003485
0.002603,0.0036246
0.0026276,0.0037244
0.0026235,0.0037854
0.0026186,0.0038215
0.0026365,0.0038395
0.0026828,0.0038333
0.002747,0.0037981
0.0028102,0.0037431
0.0028511,0.0036837
0.0028502,0.003622
0.0027972,0.0035409
0.0026993,0.0034211
0.0025795,0.0032616
0.0024625,0.0030804
0.0023583,0.0028951
0.00226,0.0027084
0.0021589,0.0025146
0.0020591,0.0023163
0.0019763,0.0021302
0.0019213,0.0019739
0.001888,0.0018513
0.0018604,0.0017543
0.0018285,0.0016764
0.0017949,0.0016185
0.0017666,0.0015838
0.0017441,0.001569
0.001723,0.001566
0.0017024,0.00157
0.0016877,0.0015827
0.0016821,0.0016069
0.0016801,0.0016421
0.0016715,0.0016845
0.0016528,0.0017301
0.001631,0.0017742
0.0016139,0.0018108
0.0015975,0.0018347
0.0015668,0.001847
0.001511,0.0018544
0.0014374,0.0018633
0.0013702,0.0018739
0.0013327,0.0018826
0.0013299,0.0018885
0.0013456,0.001896
0.0013545,0.0019087
0.0013348,0.0019213
0.0012759,0.0019218
0.0011834,0.0019053
0.0010797,0.0018837
0.00099702,0.0018789
0.00095972,0.0019055
0.00096774,0.0019598
0.00099656,0.0020289
0.0010162,0.0021068
0.0010133,0.0022015
0.00099575,0.0023216
0.0009808,0.0024598
0.00097934,0.0025922
0.00099189,0.0026954
0.0010137,0.0027613
0.0010392,0.0027952
0.0010609,0.0028002
0.0010684,0.0027681
0.0010515,0.0026892
0.0010064,0.0025691
