ch1voltsWL2,ch5voltsWL2
-0.00036943,-0.0033749
-0.00032259,-0.0033336
-0.00026231,-0.0033409
-0.00019714,-0.0034052
-0.0001334,-0.0034915
-7.3301e-05,-0.0035706
-1.8298e-05,-0.0036538
2.8011e-05,-0.0037717
6.2573e-05,-0.0039243
8.7933e-05,-0.0040676
0.00011201,-0.0041568
0.0001411,-0.0041977
0.0001738,-0.0042403
0.00020288,-0.0043145
0.00022316,-0.0043845
0.00023624,-0.0043822
0.00024746,-0.0042904
0.00026028,-0.0041791
0.00027633,-0.0041422
0.00029815,-0.0041996
0.00032777,-0.0042745
0.00036219,-0.0042771
0.00039313,-0.004205
0.00041359,-0.0041471
0.00042637,-0.0041848
0.00044404,-0.0042979
0.00047784,-0.0043784
0.00052711,-0.0043351
0.00058129,-0.0041725
0.00063116,-0.0039737
0.00067604,-0.0038235
0.00072003,-0.0037545
0.00076374,-0.0037525
0.00080297,-0.0037842
0.00083574,-0.0038076
0.00086812,-0.0037768
0.00090965,-0.0036709
0.00096305,-0.0035288
0.0010203,-0.0034337
0.0010698,-0.0034409
0.0011066,-0.0035145
0.0011353,-0.0035488
0.0011629,-0.003468
0.0011903,-0.0033031
0.0012125,-0.0031594
0.0012251,-0.0031121
0.00123,-0.0031376
0.0012341,-0.0031517
0.001245,-0.0031038
0.0012654,-0.0030243
0.001293,-0.0029795
0.0013254,-0.0029934
0.0013658,-0.0030236
0.0014218,-0.0030097
0.0014958,-0.0029379
0.0015792,-0.0028573
0.0016567,-0.0028422
0.0017184,-0.0029405
0.0017647,-0.0031453
0.0018009,-0.0033979
0.0018297,-0.0036167
0.0018517,-0.003742
0.0018691,-0.0037702
0.0018866,-0.0037449
0.0019047,-0.0037141
0.0019161,-0.0036967
0.0019132,-0.0036903
0.0018995,-0.0037024
0.0018901,-0.0037553
0.0018978,-0.0038523
0.0019209,-0.0039543
0.0019453,-0.0040087
0.0019603,-0.004
0.0019677,-0.0039585
0.0019748,-0.0039137
0.0019823,-0.0038529
0.001985,-0.0037426
0.0019832,-0.0035824
0.0019892,-0.0034142
0.0020149,-0.0032676
0.0020549,-0.003115
0.0020861,-0.0029033
0.002089,-0.002632
0.0020667,-0.0023751
0.0020418,-0.0022084
0.0020335,-0.0021243
0.0020429,-0.0020401
0.0020585,-0.0018923
0.0020726,-0.0017022
0.0020878,-0.001533
0.0021091,-0.0013984
0.0021352,-0.001244
0.0021595,-0.001025
0.0021778,-0.00077546
0.002193,-0.00057286
0.0022114,-0.00044296
0.0022364,-0.00032822
0.0022657,-0.0001606
0.0022933,5.7952e-05
0.0023141,0.00027277
0.0023253,0.00046002
0.0023259,0.00065954
0.0023158,0.00091586
0.0022982,0.0012073
0.0022826,0.0014603
0.0022822,0.001633
0.0023054,0.0017573
0.0023466,0.0018852
0.0023867,0.002015
0.0024054,0.0020942
0.0023958,0.0020949
0.0023689,0.0020598
0.0023424,0.0020599
0.0023246,0.0021185
0.0023085,0.0021955
0.0022821,0.0022451
0.0022422,0.0022681
0.0021977,0.0022988
0.0021586,0.0023548
0.0021265,0.0024214
0.0020968,0.0024824
0.0020692,0.0025489
0.0020507,0.0026411
0.0020428,0.0027545
0.0020337,0.0028651
0.0020077,0.0029665
0.0019633,0.0030814
0.0019155,0.0032194
0.0018783,0.0033399
0.0018489,0.0033895
0.0018151,0.0033867
0.0017752,0.0034395
0.0017431,0.0036468
0.0017286,0.0039774
0.0017201,0.0042775
0.001695,0.0044185
0.0016458,0.0044314
0.0015899,0.0044696
0.0015495,0.0046389
0.0015246,0.0048881
0.0014943,0.0050808
0.0014436,0.0051577
0.0013821,0.0051943
0.0013315,0.0052951
0.0012987,0.0054645
0.0012664,0.0056113
0.001215,0.0056703
0.0011459,0.005683
0.0010801,0.0057389
0.0010329,0.0058594
0.00099709,0.0059764
0.00095333,0.006027
0.00089286,0.0060375
0.00082631,0.006092
0.00077162,0.0062282
0.00073818,0.0063946
0.00072424,0.0065162
0.00072427,0.0065733
0.00073237,0.0065954
0.00073862,0.0065916
0.00072845,0.0065276
0.00069115,0.0063852
0.00062948,0.0062213
0.00055822,0.0061289
0.00049082,0.0061336
0.00042751,0.006154
0.00035834,0.0060868
0.00027764,0.0059232
0.0001926,0.0057601
0.00011509,0.0056903
4.6398e-05,0.0057009
-2.5355e-05,0.005695
-0.00011056,0.0056046
-0.00020355,0.0054605
-0.00028714,0.005346
-0.00035222,0.0053035
-0.0004089,0.0053036
-0.00047525,0.0052936
-0.0005566,0.0052531
-0.00063994,0.0051937
-0.00070889,0.0051296
-0.00076047,0.0050756
-0.00080533,0.0050638
-0.00085361,0.0051292
-0.00090425,0.0052585
-0.00094952,0.0053706
-0.00098758,0.0053774
-0.0010274,0.0052764
-0.0010805,0.0051618
-0.0011474,0.0051291
-0.0012155,0.0051781
-0.0012696,0.0052282
-0.0013063,0.0052246
-0.0013361,0.0052048
-0.0013721,0.0052424
-0.0014174,0.0053415
-0.0014647,0.0054203
-0.0015066,0.0054082
-0.001544,0.0053335
-0.0015834,0.0052922
-0.0016275,0.005334
-0.0016723,0.0054046
-0.0017124,0.0054133
-0.0017496,0.0053395
-0.0017908,0.0052524
-0.0018394,0.0052253
-0.0018877,0.0052525
-0.0019206,0.0052605
-0.0019274,0.0051868
-0.0019123,0.0050284
-0.0018923,0.0048201
-0.0018846,0.0045895
-0.0018946,0.0043437
-0.0019146,0.004086
-0.0019337,0.0038238
-0.0019484,0.0035607
-0.001965,0.0032974
-0.0019923,0.0030498
-0.0020319,0.0028493
-0.0020771,0.0027041
-0.0021193,0.0025647
-0.0021567,0.0023534
-0.002194,0.0020466
-0.0022353,0.0017191
-0.0022782,0.0014825
-0.0023171,0.0013713
-0.0023503,0.0012985
-0.0023814,0.0011395
-0.0024126,0.00085719
-0.0024415,0.00053545
-0.0024656,0.00029201
-0.0024884,0.00016678
-0.0025166,9.8829e-05
-0.0025482,3.4368e-07
-0.0025686,-0.00016317
-0.0025639,-0.00036066
-0.0025374,-0.00054184
-0.0025073,-0.00068271
-0.0024879,-0.00079005
-0.0024757,-0.00087769
-0.0024573,-0.00094756
-0.0024271,-0.0009912
-0.002394,-0.001007
-0.0023691,-0.0010162
-0.0023529,-0.0010588
-0.002337,-0.0011648
-0.002317,-0.0013196
-0.0022983,-0.001462
-0.0022875,-0.0015276
-0.0022813,-0.0015042
-0.0022695,-0.001441
-0.0022484,-0.0013992
-0.0022275,-0.0013956
-0.0022197,-0.0013992
-0.0022259,-0.0013815
-0.0022328,-0.0013559
-0.0022267,-0.0013593
-0.0022088,-0.0014037
-0.0021918,-0.0014651
-0.0021829,-0.0015243
-0.0021719,-0.0016037
-0.0021402,-0.0017437
-0.0020825,-0.0019449
-0.0020143,-0.0021501
-0.0019577,-0.002297
-0.0019231,-0.0023832
-0.0019013,-0.0024621
-0.0018764,-0.0025715
-0.0018434,-0.0026864
-0.0018104,-0.0027543
-0.0017861,-0.0027732
-0.0017696,-0.0028144
-0.0017539,-0.0029536
-0.0017377,-0.0031843
-0.0017274,-0.0034133
-0.0017264,-0.0035466
-0.0017266,-0.0035725
-0.0017147,-0.0035569
-0.0016875,-0.0035693
-0.0016577,-0.0036244
-0.0016412,-0.0036963
-0.0016409,-0.0037683
-0.001645,-0.0038506
-0.0016414,-0.0039495
-0.0016276,-0.004038
-0.0016061,-0.0040736
-0.0015756,-0.0040458
-0.0015325,-0.0039941
-0.0014801,-0.003971
-0.0014306,-0.0039914
-0.0013914,-0.004023
-0.0013546,-0.0040253
-0.0013046,-0.00399
-0.0012379,-0.0039407
-0.0011702,-0.0038987
-0.0011182,-0.0038624
-0.0010794,-0.0038176
-0.0010328,-0.0037588
-0.00096204,-0.0036919
-0.00087476,-0.0036206
-0.00079688,-0.0035395
-0.00074914,-0.0034461
-0.0007306,-0.0033518
-0.00072418,-0.0032777
-0.00071428,-0.0032423
-0.00069711,-0.0032543
-0.00067789,-0.0033114
-0.00066279,-0.0033973
-0.00065337,-0.0034765
-0.00064582,-0.0035064
-0.00063208,-0.003468
-0.00060355,-0.0033871
-0.0005575,-0.0033173
-0.00049879,-0.003294
-0.00043458,-0.0033079
-0.00036941,-0.0033285
-0.00030571,-0.0033511
-0.00024864,-0.0034083
-0.00020608,-0.0035316
-0.00017957,-0.0037109
-0.00015942,-0.0039009
-0.00013382,-0.0040609
-0.00010167,-0.0041754
-7.3119e-05,-0.0042382
-5.6251e-05,-0.0042396
-4.6722e-05,-0.0041889
-3.416e-05,-0.0041414
-1.6205e-05,-0.0041721
-7.0264e-07,-0.0043031
6.9529e-06,-0.0044664
1.3517e-05,-0.0045583
3.02e-05,-0.0045381
5.7321e-05,-0.0044658
8.2658e-05,-0.0044306
9.6866e-05,-0.0044542
0.00010694,-0.0044779
0.00013039,-0.0044382
0.00017561,-0.0043393
0.00023183,-0.00424
0.00028088,-0.0041797
0.0003166,-0.0041426
0.00034925,-0.0040964
0.00039084,-0.0040477
0.00044119,-0.0040343
0.00049123,-0.0040608
0.00053654,-0.0040739
0.00058282,-0.0040227
0.00063623,-0.0039321
0.00069221,-0.0038908
0.00073973,-0.0039469
0.00077505,-0.0040284
0.00080535,-0.0039974
0.00083736,-0.0037929
